generation,games,positions,policy_loss,value_loss,aux_margin_loss,anchor_policy_loss,anchor_value_loss,entropy,sampled_priority_mean,sampled_priority_max,lr,games_per_hour,leaves_per_sec,nn_evals_per_sec,inference_pct,plumbing_pct,workers,aggregate_games_per_hour,server_evals_per_sec,server_mean_batch_size,server_batch_wait_p50_ms,server_batch_wait_p99_ms,wall_time,eval_opponent,eval_games,eval_wins,eval_losses,eval_ties,eval_truncated,eval_end_province,eval_end_piles,eval_end_trunc,eval_win_pct_excl_ties,eval_games_per_hour,gate_result,gate_win_pct,best_generation,league_games,deep_games,deep_positions,kingdom_phase,scripted_games,scripted_wins,routed_fast_path_batches,routed_split_batches,opening_templates_enabled,opening_lambda,opening_p_unconstrained,mean_cards_trashed_per_game,opening_template_games_t0,opening_template_games_t1,opening_template_games_t2,opening_template_games_t3,opening_template_games_t4,opening_template_games_t5,opening_template_games_t6,opening_template_vs_unconstrained_games_t1,opening_template_vs_unconstrained_games_t2,opening_template_vs_unconstrained_games_t3,opening_template_vs_unconstrained_games_t4,opening_template_vs_unconstrained_games_t5,opening_template_vs_unconstrained_games_t6,opening_template_win_rate_vs_unconstrained_t1,opening_template_win_rate_vs_unconstrained_t2,opening_template_win_rate_vs_unconstrained_t3,opening_template_win_rate_vs_unconstrained_t4,opening_template_win_rate_vs_unconstrained_t5,opening_template_win_rate_vs_unconstrained_t6,unconstrained_buys_chapel,unconstrained_buys_sentry,unconstrained_buys_moneylender,unconstrained_buys_village,sentinel_bigmoney_games,sentinel_bigmoney_wins,sentinel_engine3_games,sentinel_engine3_wins,sentinel_thinner_games,sentinel_thinner_wins,league_games_self_0010.pt,league_wins_self_0010.pt,league_games_self_0030.pt,league_wins_self_0030.pt
24,2048,308616,1.0709650417963663,0.055539816493789355,0.42088326092561085,0.4441345043977102,0.007237611953634769,1.0675741302967072,nan,nan,0.0001808948337256816,31.848241989770322,334.60824469731256,336.7435107418232,99.36590729252457,0.5481635176811328,184,3403.455035010061,103515.78420314155,105.25706357866244,0.009329170489752516,0.03344898180077683,2364.1170129589736,,,,,,,,,,,,,,,451,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,7970855,2455624,False,0.0,1.0,6.72119140625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,451,261,,
25,2048,308539,1.0727413821220397,0.056907196655869484,0.43116487753391264,0.43459752142429353,0.007125688932137564,1.0694449038505554,nan,nan,0.00017928005285788027,31.656597592595485,332.81272592553785,334.9421630819217,99.36423735465546,0.5489704499644243,184,3475.9751975470376,106111.36389212869,108.04115389815577,0.009253283295086744,0.033425355259719375,2900.8615418609697,engine3,200,91,109,0,0,143,57,0,45.5,5640.790548920218,,,,461,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,8144487,2479098,False,0.0,1.0,6.82861328125,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,74,200,103,200,127,461,282,,
26,2048,314689,1.0755716032981872,0.05683875201642513,0.4331397633552551,0.432574671069781,0.007084518585198869,1.0723673113187153,nan,nan,0.0001776106165779741,26.77754896206513,287.18713514988593,288.830525786403,99.43101906142277,0.49007814043018266,184,3134.121228133936,104134.31786328446,107.22377365398566,0.009940556999134442,0.037714652055499634,2551.1605834879447,,,,,,,,,,,,,,,471,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,8293036,2605360,False,0.0,1.0,7.49609375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,471,283,,
27,2048,317772,1.0759510782559714,0.0582678611377875,0.43499182375272116,0.42834735254446665,0.006734402876192083,1.0726848281224568,nan,nan,0.00017588820586678493,31.53245361326851,341.67510435778104,343.936119887635,99.34260596688924,0.5678868989214773,184,2862.214482996878,92343.45590129388,91.98366291889029,0.00877528936239409,0.03242509743547296,2774.8557099930476,,,,,,,,,,,,,,,481,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,8035262,2883402,False,0.0,1.0,8.11865234375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,481,277,,
28,2048,324836,1.0761142784754436,0.059858592346310614,0.44431913300355275,0.41700131448109945,0.006652398079245662,1.0728583312034607,nan,nan,0.0001741145550458964,29.714974935361717,329.06175348436454,331.20513821965517,99.352852812969,0.5600957369365444,184,3324.4783385774535,113923.18959438219,118.02892829004908,0.010301472696989137,0.03250821547829605,2949.8014777009375,engine3,200,96,101,3,0,150,50,0,48.73096446700507,4569.827268555587,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,9315790,1659102,False,0.0,1.0,9.06787109375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,72,200,89,200,125,307,178,,
29,2048,323801,1.0726779551506043,0.06112592351933321,0.4521118868589401,0.41993094114462537,0.006673080859007314,1.069682941277822,nan,nan,0.0001722914500313392,28.85455311936285,318.29857599194514,320.2420771671619,99.39311498588542,0.5222709697434875,184,2975.79776657956,101321.7591612976,103.72701162252369,0.010192884693191757,0.03303162884443536,2675.019111294998,,,,,,,,,,,,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,9597059,1766176,False,0.0,1.0,8.5537109375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,307,171,,
30,2048,320070,1.0694163517951965,0.061758108218510945,0.45218293646971386,0.407717299203078,0.006331481053959578,1.066475577990214,nan,nan,0.000170420726535325,29.583350120418867,322.65439847214935,324.6472224194107,99.38615709310247,0.529534911103086,184,2922.6444024949888,105117.05200889314,107.22002466748891,0.010193841676439705,0.033150028134929,3223.7548407949507,engine3,200,99,96,5,0,139,61,0,50.76923076923077,6464.88237181479,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,9273605,1736035,False,0.0,1.0,8.9599609375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,72,200,95,200,113,307,194,0,0
31,2048,332156,1.0666299231847127,0.06237564498682817,0.44881159015496574,0.40467009143034616,0.006411949967344602,1.0638256934483845,nan,nan,0.00016850426821783988,22.44950706548536,254.7150613359706,256.0043336326296,99.49638653441349,0.4315942035664958,184,2520.313493776723,91449.0869402646,92.69383786371297,0.012682845946290558,0.04935712744657076,3133.34477437695,,,,,,,,,,,,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,10111278,1755422,False,0.0,1.0,9.4765625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,92,55,215,105
32,2048,329720,1.0688989283243815,0.062375922362009686,0.4436468565861384,0.3966436706384023,0.006477110078170274,1.0661389719645182,nan,nan,0.0001665440047899583,25.730626448836766,289.7228752827942,291.31276283362354,99.45423347217458,0.4694589069161851,184,2793.0970044806922,90474.64602957212,90.32584576516274,0.011594868855872586,0.04408463045339982,2842.0770657770336,,,,,,,,,,,,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,9839829,1673784,False,0.0,1.0,9.50390625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,139,98,168,98
33,2048,331514,1.07050443983078,0.06208098433415095,0.44297247513135274,0.389870954533418,0.006298713727776582,1.0677134489218394,nan,nan,0.0001645419100707877,26.629362148030154,301.27939073763577,303.0549126322178,99.41412535465584,0.5060962060135005,184,2891.9995352715882,93853.66831377546,94.82262026693525,0.011034629174104476,0.04191350282567445,3277.7533181129256,engine3,200,102,94,4,0,145,55,0,52.04081632653061,6127.774602754193,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,9742042,1708805,False,0.0,1.0,10.42236328125,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,75,200,101,200,123,153,90,154,73
34,2048,341379,1.069478668053945,0.06226744403441747,0.4370429409742355,0.392933570365111,0.00664034560866033,1.0669464693069457,nan,nan,0.00016250000000000002,25.554398979820245,298.22175627910445,299.89573909426645,99.44181173756662,0.4814702711968261,184,2738.9720469188605,90747.37059780803,90.96680030279579,0.01140451583324343,0.043379075416850175,2888.6154071369674,,,,,,,,,,,,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,9841528,1841301,False,0.0,1.0,11.302734375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,138,88,169,86
35,2048,349613,1.0677700346310934,0.06142504893740018,0.435028061747551,0.38086297315359113,0.006011277792897696,1.0650420807202656,nan,nan,0.0001604203306079512,25.4655800608252,304.2031333116828,305.9550478298959,99.42739479847148,0.49422169714960906,184,2669.9358149414775,95421.94151209065,95.4443088620325,0.01135685794647943,0.04352965594558824,3537.0539563320344,engine3,200,83,109,8,0,159,41,0,43.229166666666664,4149.588452549198,,,,307,0,0,"21-40:pool:0.350000:Chapel,Sentry,Village,Smithy,Laboratory,Market,Festival,Moneylender,Militia,Witch,Cellar",0,0,10188904,1709706,False,0.0,1.0,11.60205078125,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,75,200,96,200,116,135,88,172,95
